family,llm,variant,run,n_samples,n_positive,prevalence,pr_auc,roc_auc,f1,precision,recall,brier,threshold,results_dir
megavul,gemma,ALL,epss_mv_gemma_ALL,974,21,0.021560574948665298,0.4617260395823411,0.903912456903013,0.45714285714285713,0.5714285714285714,0.38095238095238093,0.032631953951580334,0.5,/home/ayounas/Text_property_Graph/EPSS_TPG/Inference_results/megavul/gemma/ALL
megavul,gemma,D,epss_mv_gemma_D,974,21,0.021560574948665298,0.4102135952888302,0.8984160295807726,0.36363636363636365,0.29411764705882354,0.47619047619047616,0.060475985670652065,0.5,/home/ayounas/Text_property_Graph/EPSS_TPG/Inference_results/megavul/gemma/D
megavul,gemma,S_code,epss_mv_gemma_S_code,974,21,0.021560574948665298,0.17558376058594122,0.8641882776195473,0.23076923076923078,0.15789473684210525,0.42857142857142855,0.10468496766611697,0.5,/home/ayounas/Text_property_Graph/EPSS_TPG/Inference_results/megavul/gemma/S_code
megavul,gemma,S_cvss,epss_mv_gemma_S_cvss,974,21,0.021560574948665298,0.060025628647943016,0.7689002148603408,0.11428571428571428,0.08163265306122448,0.19047619047619047,0.08263892742737343,0.5,/home/ayounas/Text_property_Graph/EPSS_TPG/Inference_results/megavul/gemma/S_cvss
megavul,gemma,S_url,epss_mv_gemma_S_url,974,21,0.021560574948665298,0.19385939423885912,0.8823264877829411,0.34146341463414637,0.35,0.3333333333333333,0.07165805869735051,0.5,/home/ayounas/Text_property_Graph/EPSS_TPG/Inference_results/megavul/gemma/S_url
megavul,gpt,ALL,epss_mv_gpt_ALL,974,21,0.021560574948665298,0.37227802152664574,0.9044121321141257,0.38596491228070173,0.3055555555555556,0.5238095238095238,0.09907294939186964,0.5,/home/ayounas/Text_property_Graph/EPSS_TPG/Inference_results/megavul/gpt/ALL
megavul,gpt,D,epss_mv_gpt_D,974,21,0.021560574948665298,0.3596982764443367,0.9231999200519663,0.41379310344827586,0.32432432432432434,0.5714285714285714,0.0716812602680095,0.5,/home/ayounas/Text_property_Graph/EPSS_TPG/Inference_results/megavul/gpt/D
megavul,gpt,S_code,epss_mv_gpt_S_code,947,20,0.021119324181626188,0.1722035245847307,0.8434196332254584,0.2222222222222222,0.2,0.25,0.12499289210950516,0.5,/home/ayounas/Text_property_Graph/EPSS_TPG/Inference_results/megavul/gpt/S_code
megavul,gpt,S_cvss,epss_mv_gpt_S_cvss,974,21,0.021560574948665298,0.07000927417615573,0.7840403737570579,0.0,0.0,0.0,0.07536258325200622,0.5,/home/ayounas/Text_property_Graph/EPSS_TPG/Inference_results/megavul/gpt/S_cvss
megavul,gpt,S_url,epss_mv_gpt_S_url,972,21,0.021604938271604937,0.2136119112162519,0.9119222873166091,0.2708333333333333,0.17333333333333334,0.6190476190476191,0.09258989870631007,0.5,/home/ayounas/Text_property_Graph/EPSS_TPG/Inference_results/megavul/gpt/S_url
megavul,mistral,ALL,epss_mv_mistral_ALL,974,21,0.021560574948665298,0.3163104708194164,0.9288962174586518,0.2727272727272727,0.2608695652173913,0.2857142857142857,0.06432552040184318,0.5,/home/ayounas/Text_property_Graph/EPSS_TPG/Inference_results/megavul/mistral/ALL
megavul,mistral,D,epss_mv_mistral_D,974,21,0.021560574948665298,0.49776576998596705,0.9194023884475091,0.3448275862068966,0.22727272727272727,0.7142857142857143,0.09305222429469857,0.5,/home/ayounas/Text_property_Graph/EPSS_TPG/Inference_results/megavul/mistral/D
megavul,mistral,S_code,epss_mv_mistral_S_code,974,21,0.021560574948665298,0.1884512493052124,0.8633388297606556,0.1875,0.2727272727272727,0.14285714285714285,0.07069283210611302,0.5,/home/ayounas/Text_property_Graph/EPSS_TPG/Inference_results/megavul/mistral/S_code
megavul,mistral,S_cvss,epss_mv_mistral_S_cvss,956,19,0.0198744769874477,0.09049570616702712,0.8632814694152671,0.17777777777777778,0.15384615384615385,0.21052631578947367,0.10149043014663804,0.5,/home/ayounas/Text_property_Graph/EPSS_TPG/Inference_results/megavul/mistral/S_cvss
megavul,mistral,S_url,epss_mv_mistral_S_url,974,21,0.021560574948665298,0.24824572867817465,0.9158546944486083,0.33962264150943394,0.28125,0.42857142857142855,0.10481833947597133,0.5,/home/ayounas/Text_property_Graph/EPSS_TPG/Inference_results/megavul/mistral/S_url
